,nr,file,pid,mom,eta_bin,eta,phi,aero_thetac_hist_entries,aero_thetac_fit_mean,aero_thetac_fit_sigma,aero_thetac_res_hist_entries,aero_thetac_res_fit_mean,aero_thetac_res_fit_sigma,gas_thetac_hist_entries,gas_thetac_fit_mean,gas_thetac_fit_sigma,gas_thetac_res_hist_entries,gas_thetac_res_fit_mean,gas_thetac_res_fit_sigma,SPEaero_thetac_hist_entries,SPEaero_thetac_hist_mean,SPEaero_thetac_fit_mean,SPEaero_thetac_fit_sigma,SPEaero_thetac_res_hist_entries,SPEaero_thetac_res_hist_mean,SPEaero_thetac_res_fit_mean,SPEaero_thetac_res_fit_sigma,SPEgas_thetac_hist_entries,SPEgas_thetac_hist_mean,SPEgas_thetac_fit_mean,SPEgas_thetac_fit_sigma,SPEgas_thetac_res_hist_entries,SPEgas_thetac_res_hist_mean,SPEgas_thetac_res_fit_mean,SPEgas_thetac_res_fit_sigma
508,508,ana_2212_25_20_7.root,2212,25,20,3.5,7,194,221.02524502915492,0.6184705905934985,194,-1.496734069,0.617444705,59,10.672613980620397,0.8801142930147196,192,-1.496732247,0.6174425726666983,1658,221.13160434258143,220.82033229802187,1.823746731726418,1658,-1.38721351,-1.674512914,1.9519528035575553,87,10.810344827586206,10.674406293080237,0.9390997427454493,1650,-1.434343434,-1.674974594,1.9530188412348073
174,174,ana_2212_35_5_0.root,2212,35,5,2,0,198,222.5767842291877,0.525550864,198,-1.452682488,0.5494116071442726,188,28.5535871,0.6399563538615853,198,-1.452682488,0.5494116075400312,2478,222.79217110573046,222.4243768131894,1.9677994925900153,2478,-1.240516546,-1.607271306,1.9691550064278451,1373,28.54326292789512,28.417595809921682,1.5769894416115364,2458,-1.305451587,-1.607623545,1.9704648837243233
193,193,ana_2212_35_5_1.root,2212,35,5,2,1,198,222.52766942898785,0.6178365782396679,198,-1.516970612,0.6048350402752475,193,28.54137295888761,0.640333779,198,-1.516970612,0.6048350394289901,2456,222.6956026058632,222.27794288707847,1.7380532806166131,2456,-1.343268187,-1.753874341,1.7766840482881296,1732,28.453579676674366,28.535932057477947,1.6234891368701767,2441,-1.398743684,-1.753987688,1.7769772159379817
574,574,ana_2212_35_5_2.root,2212,35,5,2,2,199,222.53946904033592,0.4841080568255094,199,-1.49272166,0.4872145675900423,188,28.349492943833695,0.7216499824437358,199,-1.49272166,0.4872145675900423,2656,222.79736445783135,222.3693582235151,1.9366850810086267,2656,-1.239407631,-1.675197501,1.8786544342414662,1454,28.363686382393393,28.164859971914268,2.215571428380629,2629,-1.330112844,-1.675467718,1.8792653202100658
396,396,ana_2212_35_5_3.root,2212,35,5,2,3,199,222.50180527890646,0.5634175490061368,199,-1.532161637,0.5706086195252916,192,28.671796177719735,0.7768720824977577,199,-1.532161637,0.5706086192850952,2487,222.7262163248894,222.3737547,2.0242671909971603,2487,-1.308591342,-1.664032535,1.9980131867187638,1433,28.580949057920442,28.81542954316319,1.5141675298949642,2467,-1.375138495,-1.664620238,1.999290618022553
302,302,ana_2212_35_5_4.root,2212,35,5,2,4,196,222.56503838190284,0.5736045314353126,196,-1.455503328,0.5602990618444041,189,28.45774196493883,0.5556142812869213,196,-1.455503328,0.5602990616590573,2575,222.84516504854372,222.40497912625926,1.9437853184218952,2575,-1.190964401,-1.63575302,1.9237710459137787,1348,28.781750741839765,28.48023250871381,1.3846310819944474,2549,-1.279952923,-1.63609696,1.9245257289995539
85,85,ana_2212_35_5_5.root,2212,35,5,2,5,200,222.48730442222362,0.5084249615256105,200,-1.550358025,0.5182830810046262,186,28.518710621199368,0.6354004089574756,200,-1.550358025,0.518283081,2446,222.70793131643504,222.32073310785677,1.9874214321846104,2446,-1.327555192,-1.712667151,1.9864630497875548,1681,28.655264723378938,28.595222761959747,1.6531964148560545,2433,-1.367886012,-1.713211129,1.9885833175691923
219,219,ana_2212_35_5_6.root,2212,35,5,2,6,199,222.53219516691303,0.6367451243282948,199,-1.509875541,0.6369367470429163,192,28.38504221668578,0.8410475439861727,199,-1.509875541,0.6369367470429163,2671,222.7201422688132,222.27255825250936,1.9756270136676126,2671,-1.314139523,-1.81555457,1.7271673316868865,1448,28.360773480662985,28.24382525526488,2.505507944736502,2650,-1.360402516,-1.815576795,1.7272677709257827
525,525,ana_2212_35_5_7.root,2212,35,5,2,7,196,222.4383700614531,0.5628667472862745,196,-1.603322264,0.557665771,190,28.580836215996445,0.7879104255194433,196,-1.603322264,0.5576657716114519,2396,222.67946577629382,222.3296790305665,1.9311631240823375,2396,-1.356872565,-1.703502177,1.983747220643314,1435,28.704041811846686,28.69877100764732,1.6374545099233058,2375,-1.429080702,-1.704134427,1.985767668636243
21,21,ana_2212_35_10_0.root,2212,35,10,2.5,0,198,222.4848464100547,0.4153060651731847,198,-1.538922764,0.430159779,195,28.223052875838327,0.42694407778403526,198,-1.538922763,0.4301597784870751,2294,222.53225806451616,222.25035790718402,1.6592988299463338,2294,-1.503865155,-1.765152278,1.745919727006507,1354,28.205317577548012,28.159946358681484,1.0050523203197488,2293,-1.507631923,-1.765214759,1.7461326095368206
